"","Date","Time","nObs"
"287",2019-07-26,2020-07-11 20:56:00,"1"
"288",2019-07-26,2020-07-11 21:03:00,"1"
"289",2019-07-29,2020-07-11 20:29:00,"1"
"290",2019-07-29,2020-07-11 20:30:00,"1"
"291",2019-07-29,2020-07-11 20:31:00,"1"
"292",2019-07-29,2020-07-11 20:34:00,"1"
"293",2019-07-29,2020-07-11 20:36:00,"1"
"294",2019-07-29,2020-07-11 20:39:00,"3"
"295",2019-07-29,2020-07-11 20:42:00,"1"
"296",2019-07-29,2020-07-11 20:44:00,"1"
"297",2019-07-29,2020-07-11 20:50:00,"1"
"298",2019-07-29,2020-07-11 20:54:00,"1"
"299",2019-07-29,2020-07-11 20:59:00,"1"
"300",2019-07-29,2020-07-11 21:01:00,"1"
"301",2019-07-31,2020-07-11 20:28:00,"1"
"302",2019-07-31,2020-07-11 20:37:00,"1"
"303",2019-07-31,2020-07-11 20:42:00,"1"
"304",2019-07-31,2020-07-11 20:44:00,"2"
"305",2019-07-31,2020-07-11 20:47:00,"2"
"306",2019-07-31,2020-07-11 20:48:00,"1"
"307",2019-07-31,2020-07-11 20:51:00,"1"
"308",2019-07-31,2020-07-11 20:52:00,"1"
"309",2019-08-03,2020-07-11 20:31:00,"1"
"310",2019-08-03,2020-07-11 20:37:00,"1"
"311",2019-08-03,2020-07-11 20:39:00,"1"
"312",2019-08-03,2020-07-11 20:41:00,"1"
"313",2019-08-03,2020-07-11 20:43:00,"1"
"314",2019-08-03,2020-07-11 20:44:00,"1"
"315",2019-08-03,2020-07-11 20:45:00,"2"
"316",2019-08-03,2020-07-11 20:48:00,"1"
"317",2019-08-03,2020-07-11 20:49:00,"1"
"318",2019-08-03,2020-07-11 20:52:00,"1"
"319",2019-08-03,2020-07-11 20:53:00,"2"
"320",2019-08-03,2020-07-11 20:55:00,"1"
"321",2019-08-05,2020-07-11 20:33:00,"1"
"322",2019-08-05,2020-07-11 20:38:00,"1"
"323",2019-08-05,2020-07-11 20:39:00,"1"
"324",2019-08-05,2020-07-11 20:46:00,"1"
"325",2019-08-05,2020-07-11 20:48:00,"1"
"326",2019-08-05,2020-07-11 20:53:00,"1"
"327",2019-08-05,2020-07-11 20:54:00,"1"
"328",2019-08-09,2020-07-11 20:16:00,"1"
"329",2019-08-09,2020-07-11 20:26:00,"1"
"330",2019-08-09,2020-07-11 20:32:00,"1"
"331",2019-08-09,2020-07-11 20:34:00,"2"
"332",2019-08-09,2020-07-11 20:35:00,"1"
"333",2019-08-09,2020-07-11 20:36:00,"1"
"334",2019-08-09,2020-07-11 20:39:00,"1"
"335",2019-08-09,2020-07-11 20:40:00,"2"
"336",2019-08-09,2020-07-11 20:43:00,"1"
"337",2019-08-09,2020-07-11 20:45:00,"1"
"338",2019-08-09,2020-07-11 20:48:00,"1"
